epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
31,2020-07-29,129,PE,Petrolina,2611101,city,1969,563.94908,244,52,0,0.0264,349145,False,False
31,2020-07-28,128,PE,Petrolina,2611101,city,1725,494.06407,7,52,0,0.0301,349145,False,False
31,2020-07-27,127,PE,Petrolina,2611101,city,1718,492.05917,98,52,0,0.0303,349145,False,False
31,2020-07-26,126,PE,Petrolina,2611101,city,1620,463.99061,107,52,0,0.0321,349145,False,False
30,2020-07-25,125,PE,Petrolina,2611101,city,1513,433.34431,66,52,1,0.0344,349145,False,False
30,2020-07-24,124,PE,Petrolina,2611101,city,1447,414.44099,48,51,2,0.0352,349145,False,False
30,2020-07-23,123,PE,Petrolina,2611101,city,1399,400.69312,39,49,0,0.035,349145,False,False
30,2020-07-22,122,PE,Petrolina,2611101,city,1360,389.52298,25,49,2,0.036,349145,False,False
30,2020-07-21,121,PE,Petrolina,2611101,city,1335,382.36263,1,47,0,0.0352,349145,False,False
30,2020-07-20,120,PE,Petrolina,2611101,city,1334,382.07621,18,47,3,0.0352,349145,False,False
30,2020-07-19,119,PE,Petrolina,2611101,city,1316,376.92076,25,44,0,0.0334,349145,False,False
29,2020-07-18,118,PE,Petrolina,2611101,city,1291,369.76041,19,44,1,0.0341,349145,False,False
29,2020-07-17,117,PE,Petrolina,2611101,city,1272,364.31855,101,43,1,0.0338,349145,False,False
29,2020-07-16,116,PE,Petrolina,2611101,city,1171,335.39074,26,42,2,0.0359,349145,False,False
29,2020-07-15,115,PE,Petrolina,2611101,city,1145,327.94398,37,40,1,0.0349,349145,False,False
29,2020-07-14,114,PE,Petrolina,2611101,city,1108,317.34666,20,39,1,0.0352,349145,False,False
29,2020-07-13,113,PE,Petrolina,2611101,city,1088,311.61838,25,38,0,0.0349,349145,False,False
29,2020-07-12,112,PE,Petrolina,2611101,city,1063,304.45803,20,38,2,0.0357,349145,False,False
28,2020-07-11,111,PE,Petrolina,2611101,city,1043,298.72975,19,36,3,0.0345,349145,False,False
28,2020-07-10,110,PE,Petrolina,2611101,city,1024,293.28789,38,33,0,0.0322,349145,False,False
28,2020-07-09,109,PE,Petrolina,2611101,city,986,282.40416,41,33,3,0.0335,349145,False,False
28,2020-07-08,108,PE,Petrolina,2611101,city,945,270.66119,33,30,1,0.0317,349145,False,False
28,2020-07-07,107,PE,Petrolina,2611101,city,912,261.20953,7,29,0,0.0318,349145,False,False
28,2020-07-06,106,PE,Petrolina,2611101,city,905,259.20463,9,29,2,0.032,349145,False,False
28,2020-07-05,105,PE,Petrolina,2611101,city,896,256.6269,58,27,0,0.0301,349145,False,False
27,2020-07-04,104,PE,Petrolina,2611101,city,838,240.01489,30,27,1,0.0322,349145,False,False
27,2020-07-03,103,PE,Petrolina,2611101,city,808,231.42247,44,26,0,0.0322,349145,False,False
27,2020-07-02,102,PE,Petrolina,2611101,city,764,218.82026,41,26,1,0.034,349145,False,False
27,2020-07-01,101,PE,Petrolina,2611101,city,723,207.07729,42,25,0,0.0346,349145,False,False
27,2020-06-30,100,PE,Petrolina,2611101,city,681,195.0479,7,25,0,0.0367,349145,False,False
27,2020-06-29,99,PE,Petrolina,2611101,city,674,193.04301,10,25,0,0.0371,349145,False,False
27,2020-06-28,98,PE,Petrolina,2611101,city,664,190.17887,62,25,0,0.0377,349145,False,False
26,2020-06-27,97,PE,Petrolina,2611101,city,602,172.4212,16,25,1,0.0415,349145,False,False
26,2020-06-26,96,PE,Petrolina,2611101,city,586,167.83858,11,24,1,0.041,349145,False,False
26,2020-06-25,95,PE,Petrolina,2611101,city,575,164.68802,46,23,1,0.04,349145,False,False
26,2020-06-24,94,PE,Petrolina,2611101,city,529,151.51298,27,22,0,0.0416,349145,False,False
26,2020-06-23,93,PE,Petrolina,2611101,city,502,143.7798,3,22,1,0.0438,349145,False,False
26,2020-06-22,92,PE,Petrolina,2611101,city,499,142.92056,12,21,1,0.0421,349145,False,False
26,2020-06-21,91,PE,Petrolina,2611101,city,487,139.4836,14,20,3,0.0411,349145,False,False
25,2020-06-20,90,PE,Petrolina,2611101,city,473,135.4738,162,17,1,0.0359,349145,False,False
25,2020-06-19,89,PE,Petrolina,2611101,city,311,89.07474,40,16,0,0.0514,349145,False,False
25,2020-06-18,88,PE,Petrolina,2611101,city,271,77.61818,20,16,2,0.059,349145,False,False
25,2020-06-17,87,PE,Petrolina,2611101,city,251,71.8899,6,14,0,0.0558,349145,False,False
25,2020-06-16,86,PE,Petrolina,2611101,city,245,70.17142,2,14,2,0.0571,349145,False,False
25,2020-06-15,85,PE,Petrolina,2611101,city,243,69.59859,5,12,0,0.0494,349145,False,False
25,2020-06-14,84,PE,Petrolina,2611101,city,238,68.16652,7,12,1,0.0504,349145,False,False
24,2020-06-13,83,PE,Petrolina,2611101,city,231,66.16162,7,11,0,0.0476,349145,False,False
24,2020-06-12,82,PE,Petrolina,2611101,city,224,64.15673,1,11,0,0.0491,349145,False,False
24,2020-06-11,81,PE,Petrolina,2611101,city,223,63.87031,5,11,0,0.0493,349145,False,False
24,2020-06-10,80,PE,Petrolina,2611101,city,218,62.43824,10,11,0,0.0505,349145,False,False
24,2020-06-09,79,PE,Petrolina,2611101,city,208,59.5741,0,11,0,0.0529,349145,False,False
24,2020-06-08,78,PE,Petrolina,2611101,city,208,59.5741,4,11,0,0.0529,349145,False,False
24,2020-06-07,77,PE,Petrolina,2611101,city,204,58.42845,22,11,0,0.0539,349145,False,False
23,2020-06-06,76,PE,Petrolina,2611101,city,182,52.12734,3,11,1,0.0604,349145,False,False
23,2020-06-05,75,PE,Petrolina,2611101,city,179,51.2681,7,10,0,0.0559,349145,False,False
23,2020-06-04,74,PE,Petrolina,2611101,city,172,49.2632,4,10,0,0.0581,349145,False,False
23,2020-06-03,73,PE,Petrolina,2611101,city,168,48.11754,5,10,2,0.0595,349145,False,False
23,2020-06-02,72,PE,Petrolina,2611101,city,163,46.68547,7,8,0,0.0491,349145,False,False
23,2020-06-01,71,PE,Petrolina,2611101,city,156,44.68058,0,8,0,0.0513,349145,False,False
23,2020-05-31,70,PE,Petrolina,2611101,city,156,44.68058,10,8,0,0.0513,349145,False,False
22,2020-05-30,69,PE,Petrolina,2611101,city,146,41.81644,3,8,2,0.0548,349145,False,False
22,2020-05-29,68,PE,Petrolina,2611101,city,143,40.9572,11,6,0,0.042,349145,False,False
22,2020-05-28,67,PE,Petrolina,2611101,city,132,37.80664,3,6,0,0.0455,349145,False,False
22,2020-05-27,66,PE,Petrolina,2611101,city,129,36.9474,6,6,1,0.0465,349145,False,False
22,2020-05-26,65,PE,Petrolina,2611101,city,123,35.22892,6,5,0,0.0407,349145,False,False
22,2020-05-25,64,PE,Petrolina,2611101,city,117,33.51043,1,5,0,0.0427,349145,False,False
22,2020-05-24,63,PE,Petrolina,2611101,city,116,33.22402,3,5,0,0.0431,349145,False,False
21,2020-05-23,62,PE,Petrolina,2611101,city,113,32.36478,1,5,1,0.0442,349145,False,False
21,2020-05-22,61,PE,Petrolina,2611101,city,112,32.07836,5,4,0,0.0357,349145,False,False
21,2020-05-21,60,PE,Petrolina,2611101,city,107,30.64629,9,4,0,0.0374,349145,False,False
21,2020-05-20,59,PE,Petrolina,2611101,city,98,28.06857,11,4,0,0.0408,349145,False,False
21,2020-05-19,58,PE,Petrolina,2611101,city,87,24.91801,1,4,0,0.046,349145,False,False
21,2020-05-18,57,PE,Petrolina,2611101,city,86,24.6316,0,4,0,0.0465,349145,False,False
21,2020-05-17,56,PE,Petrolina,2611101,city,86,24.6316,2,4,1,0.0465,349145,False,False
20,2020-05-16,55,PE,Petrolina,2611101,city,84,24.05877,7,3,0,0.0357,349145,False,False
20,2020-05-15,54,PE,Petrolina,2611101,city,77,22.05387,6,3,0,0.039,349145,False,False
20,2020-05-14,53,PE,Petrolina,2611101,city,71,20.33539,3,3,1,0.0423,349145,False,False
20,2020-05-13,52,PE,Petrolina,2611101,city,68,19.47615,0,2,0,0.0294,349145,False,False
20,2020-05-12,51,PE,Petrolina,2611101,city,68,19.47615,1,2,1,0.0294,349145,False,False
20,2020-05-11,50,PE,Petrolina,2611101,city,67,19.18973,0,1,0,0.0149,349145,False,False
20,2020-05-10,49,PE,Petrolina,2611101,city,67,19.18973,0,1,0,0.0149,349145,False,False
19,2020-05-09,48,PE,Petrolina,2611101,city,67,19.18973,1,1,0,0.0149,349145,False,False
19,2020-05-08,47,PE,Petrolina,2611101,city,66,18.90332,0,1,0,0.0152,349145,False,False
19,2020-05-07,46,PE,Petrolina,2611101,city,66,18.90332,43,1,1,0.0152,349145,False,False
19,2020-05-06,45,PE,Petrolina,2611101,city,23,6.58752,0,0,0,0.0,349145,False,True
19,2020-05-05,44,PE,Petrolina,2611101,city,23,6.58752,0,0,0,0.0,349145,False,False
19,2020-05-04,43,PE,Petrolina,2611101,city,23,6.58752,0,0,0,0.0,349145,False,False
19,2020-05-03,42,PE,Petrolina,2611101,city,23,6.58752,0,0,0,0.0,349145,False,False
18,2020-05-02,41,PE,Petrolina,2611101,city,23,6.58752,3,0,0,0.0,349145,False,False
18,2020-05-01,40,PE,Petrolina,2611101,city,20,5.72828,1,0,0,0.0,349145,False,False
18,2020-04-30,39,PE,Petrolina,2611101,city,19,5.44187,2,0,0,0.0,349145,False,False
18,2020-04-29,38,PE,Petrolina,2611101,city,17,4.86904,0,0,0,0.0,349145,False,False
18,2020-04-28,37,PE,Petrolina,2611101,city,17,4.86904,0,0,0,0.0,349145,False,False
18,2020-04-27,36,PE,Petrolina,2611101,city,17,4.86904,1,0,0,0.0,349145,False,False
18,2020-04-26,35,PE,Petrolina,2611101,city,16,4.58262,5,0,0,0.0,349145,False,False
17,2020-04-25,34,PE,Petrolina,2611101,city,11,3.15055,0,0,0,0.0,349145,False,False
17,2020-04-24,33,PE,Petrolina,2611101,city,11,3.15055,-3,0,0,0.0,349145,False,False
17,2020-04-23,32,PE,Petrolina,2611101,city,14,4.0098,2,0,0,0.0,349145,False,False
17,2020-04-22,31,PE,Petrolina,2611101,city,12,3.43697,3,0,0,0.0,349145,False,False
17,2020-04-21,30,PE,Petrolina,2611101,city,9,2.57773,0,0,0,0.0,349145,False,False
17,2020-04-20,29,PE,Petrolina,2611101,city,9,2.57773,0,0,0,0.0,349145,False,False
17,2020-04-19,28,PE,Petrolina,2611101,city,9,2.57773,3,0,0,0.0,349145,False,False
16,2020-04-18,27,PE,Petrolina,2611101,city,6,1.71848,0,0,0,0.0,349145,False,False
16,2020-04-17,26,PE,Petrolina,2611101,city,6,1.71848,0,0,0,0.0,349145,False,False
16,2020-04-16,25,PE,Petrolina,2611101,city,6,1.71848,0,0,0,0.0,349145,False,False
16,2020-04-15,24,PE,Petrolina,2611101,city,6,1.71848,0,0,0,0.0,349145,False,False
16,2020-04-14,23,PE,Petrolina,2611101,city,6,1.71848,1,0,0,0.0,349145,False,False
16,2020-04-13,22,PE,Petrolina,2611101,city,5,1.43207,1,0,0,0.0,349145,False,False
16,2020-04-12,21,PE,Petrolina,2611101,city,4,1.14566,0,0,0,0.0,349145,False,False
15,2020-04-11,20,PE,Petrolina,2611101,city,4,1.14566,0,0,0,0.0,349145,False,False
15,2020-04-10,19,PE,Petrolina,2611101,city,4,1.14566,0,0,0,0.0,349145,False,False
15,2020-04-09,18,PE,Petrolina,2611101,city,4,1.14566,1,0,0,0.0,349145,False,False
15,2020-04-08,17,PE,Petrolina,2611101,city,3,0.85924,0,0,0,0.0,349145,False,False
15,2020-04-07,16,PE,Petrolina,2611101,city,3,0.85924,1,0,0,0.0,349145,False,False
15,2020-04-06,15,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
15,2020-04-05,14,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-04-04,13,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-04-03,12,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-04-02,11,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-04-01,10,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-03-31,9,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-03-30,8,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
14,2020-03-29,7,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
13,2020-03-28,6,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
13,2020-03-27,5,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
13,2020-03-26,4,PE,Petrolina,2611101,city,2,0.57283,0,0,0,0.0,349145,False,False
13,2020-03-25,3,PE,Petrolina,2611101,city,2,0.57283,1,0,0,0.0,349145,False,False
13,2020-03-24,2,PE,Petrolina,2611101,city,1,0.28641,0,0,0,0.0,349145,False,False
13,2020-03-23,1,PE,Petrolina,2611101,city,1,0.28641,1,0,0,0.0,349145,False,False
